unit,split,batch_idx,column,grad_mean_abs,grad_mean_abs_scaled,relative_raw_score,relative_scaled_score
subset_e2e,test,3,volume,2.5563468009082158e-11,0.0017053049003464826,5.957273890589106e-15,7.60369221893886e-09
subset_e2e,test,4,open,717.3045043945312,8954.571684390656,0.9999995745521608,0.9974249471185987
subset_e2e,test,4,high,5019.3818359375,64235.04427602142,6.997557759224092,7.15496373230847
subset_e2e,test,4,low,3584.77197265625,43913.13872547774,4.997557418865821,4.891362938935682
subset_e2e,test,4,close,717.3048095703125,8977.689710147097,1.0,1.0
subset_e2e,test,4,volume,2.999329257180605e-11,0.0009755521763503555,4.181387350486741e-14,1.0866405588151825e-07
subset_e2e,test,5,open,1718.5394287109375,78425.55705612758,1.0,0.9976960225990943
subset_e2e,test,5,high,12025.560546875,560061.682853274,6.997547071640524,7.124862536748902
subset_e2e,test,5,low,8588.486328125,385604.11252707243,4.99754977083485,4.905488769315092
subset_e2e,test,5,close,1718.5394287109375,78606.66503593093,1.0,1.0
subset_e2e,test,5,volume,3.4302279766640353e-11,0.0009236932988564012,1.9960135446162104e-14,1.1750826707050644e-08
subset_e2e,test,6,open,5.9997964854119346e-05,0.0016156181867211378,1.0,1.0
subset_e2e,test,6,high,0.00018187882960774004,0.005009820806944787,3.031416649714121,3.1008692821861024
subset_e2e,test,6,low,5.450339085655287e-05,0.001440207984047176,0.9084206604186303,0.8914284302345266
subset_e2e,test,6,close,0.0002332141884835437,0.00628233620029689,3.887034986113061,3.888503021278038
subset_e2e,test,6,volume,3.522738697969707e-11,0.0014782207715626633,5.871430316903228e-07,0.9149567538371677
subset_e2e,test,7,open,6301.33642578125,225227.82673982158,1.0,0.9886584367958478
subset_e2e,test,7,high,44093.82421875,1662183.2994873226,6.997535322561861,7.296307771231317
subset_e2e,test,7,low,31491.19140625,1088638.5844969004,4.997541676620713,4.778680044840371
subset_e2e,test,7,close,6301.33642578125,227811.56601441093,1.0,1.0
subset_e2e,test,7,volume,4.1808796008568905e-11,0.001660695046310015,6.634909356293476e-15,7.289774945864525e-09
subset_e2e,test,8,open,5202.9033203125,86862.7571335826,1.0,0.9934227438548473
subset_e2e,test,8,high,36407.54296875,627879.7745465711,6.997543626577183,7.180868637197164
subset_e2e,test,8,low,26001.75390625,424688.8334658742,4.997547005099504,4.857036089441272
subset_e2e,test,8,close,5202.9033203125,87437.85832456686,1.0,1.0
subset_e2e,test,8,volume,3.460276162825515e-11,0.0014499931543930783,6.650663965475495e-15,1.6583127516810222e-08
subset_e2e,test,9,open,13187.126953125,382350.4194165766,0.32242521237830757,0.3210959483388056
subset_e2e,test,9,high,92277.578125,2760279.8437030613,2.2561864938790483,2.3180690515437132
