datetime,topk,topk_overlap,seed,comparison
2025-02-20,50,0.12,1,partial_fgsm_vs_partial_clean
2025-02-21,50,0.06,1,partial_fgsm_vs_partial_clean
2025-02-24,50,0.18,1,partial_fgsm_vs_partial_clean
2025-02-25,50,0.24,1,partial_fgsm_vs_partial_clean
2025-02-26,50,0.1,1,partial_fgsm_vs_partial_clean
2025-02-27,50,0.12,1,partial_fgsm_vs_partial_clean
2025-02-28,50,0.2,1,partial_fgsm_vs_partial_clean
2025-03-03,50,0.42,1,partial_fgsm_vs_partial_clean
2025-03-04,50,0.08,1,partial_fgsm_vs_partial_clean
2025-03-05,50,0.02,1,partial_fgsm_vs_partial_clean
2025-03-06,50,0.04,1,partial_fgsm_vs_partial_clean
